bodyType,brand,color,fuelType,modelDate,numberOfDoors,productionDate,vehicleTransmission,engineDisplacement,enginePower,price
внедорожник 5 дв.,HYUNDAI,белый,бензин,2016,5,2019,автоматическая,2.0 LTR,149 N12,1760000
седан,MERCEDES,белый,бензин,2013,4,2014,роботизированная,2.0 LTR,211 N12,1595000
внедорожник 5 дв.,CHEVROLET,чёрный,бензин,2006,5,2008,автоматическая,5.3 LTR,324 N12,1195000
внедорожник 5 дв.,VOLVO,синий,дизель,2013,5,2014,автоматическая,2.4 LTR,215 N12,2299000
внедорожник 5 дв.,HYUNDAI,красный,бензин,2012,5,2013,автоматическая,2.4 LTR,175 N12,1415000
внедорожник 5 дв.,MAZDA,чёрный,бензин,2011,5,2012,автоматическая,2.0 LTR,150 N12,1229000
лифтбек,AUDI,красный,бензин,2018,5,2019,роботизированная,2.0 LTR,245 N12,4799000
внедорожник 5 дв.,VOLKSWAGEN,чёрный,дизель,2010,5,2010,автоматическая,3.0 LTR,240 N12,1445000
универсал 5 дв.,VAZ,белый,бензин,2018,5,2020,механическая,1.6 LTR,87 N12,786000
седан,BMW,серый,дизель,2017,4,2019,автоматическая,3.0 LTR,249 N12,4127000
внедорожник 5 дв.,VOLVO,чёрный,бензин,2006,5,2012,автоматическая,3.2 LTR,243 N12,1335000
седан,NISSAN,серый,бензин,2008,4,2009,вариатор,2.5 LTR,185 N12,729000
универсал 5 дв.,MITSUBISHI,серебристый,бензин,2005,5,2008,механическая,1.6 LTR,98 N12,359000
седан,VOLVO,белый,бензин,2010,4,2012,автоматическая,2.5 LTR,249 N12,895000
седан,RENAULT,коричневый,бензин,2009,4,2013,автоматическая,1.6 LTR,106 N12,473800
внедорожник 5 дв.,KIA,синий,бензин,2018,5,2019,автоматическая,2.0 LTR,150 N12,1788000
внедорожник 5 дв.,VOLVO,пурпурный,дизель,2013,5,2017,автоматическая,2.4 LTR,190 N12,2050000
минивэн,MERCEDES,чёрный,дизель,2014,5,2014,автоматическая,2.1 LTR,190 N12,2865000
внедорожник 5 дв.,NISSAN,серый,бензин,2010,5,2011,автоматическая,5.6 LTR,405 N12,1670000
седан,VOLKSWAGEN,чёрный,бензин,2014,4,2016,механическая,1.6 LTR,110 N12,915000
внедорожник 5 дв.,FORD,чёрный,бензин,2014,5,2015,роботизированная,1.6 LTR,122 N12,930000
внедорожник 5 дв.,KIA,белый,дизель,2014,5,2016,автоматическая,2.2 LTR,200 N12,2297000
минивэн,MERCEDES,чёрный,дизель,2010,4,2013,автоматическая,2.1 LTR,163 N12,2280000
внедорожник 5 дв.,KIA,серебристый,бензин,2009,5,2012,автоматическая,2.4 LTR,175 N12,1185000
внедорожник 5 дв.,NISSAN,чёрный,дизель,2010,5,2010,автоматическая,2.5 LTR,190 N12,1239000
внедорожник 3 дв.,VAZ,белый,бензин,1993,3,2018,механическая,1.7 LTR,83 N12,459500
седан,GENESIS,синий,бензин,2016,4,2018,автоматическая,2.0 LTR,245 N12,1860000
внедорожник 5 дв.,LIFAN,серый,бензин,2016,5,2017,механическая,1.8 LTR,128 N12,672000
хэтчбек 5 дв.,KIA,белый,бензин,2018,5,2018,автоматическая,1.6 LTR,128 N12,1495000
седан,KIA,синий,бензин,2017,4,2019,механическая,1.6 LTR,123 N12,1135000
хэтчбек 5 дв.,HYUNDAI,фиолетовый,бензин,2010,5,2012,механическая,1.6 LTR,123 N12,545000
внедорожник 5 дв.,VOLKSWAGEN,серебристый,бензин,2016,5,2018,роботизированная,1.4 LTR,150 N12,1870000
внедорожник 5 дв.,CHEVROLET,чёрный,бензин,2009,5,2016,механическая,1.7 LTR,80 N12,545000
внедорожник 3 дв.,JEEP,серый,бензин,2017,3,2018,механическая,3.6 LTR,285 N12,3600000
универсал 5 дв.,VAZ,серебристый,бензин,2012,5,2019,механическая,1.6 LTR,87 N12,632100
седан,FORD,серебристый,бензин,2003,4,2006,автоматическая,2.0 LTR,145 N12,380000
хэтчбек 5 дв.,INFINITI,красный,бензин,2015,5,2016,роботизированная,2.0 LTR,211 N12,2350000
хэтчбек 5 дв.,PEUGEOT,белый,бензин,2012,5,2013,механическая,1.0 LTR,68 N12,620000
седан,NISSAN,золотистый,бензин,2012,4,2014,механическая,1.6 LTR,102 N12,490000
седан,HYUNDAI,белый,бензин,2010,4,2013,механическая,1.6 LTR,123 N12,595000
седан,VAZ,синий,бензин,2011,4,2018,механическая,1.6 LTR,87 N12,468000
седан,VOLKSWAGEN,синий,бензин,2014,4,2016,автоматическая,1.6 LTR,110 N12,711000
внедорожник 5 дв.,NISSAN,белый,бензин,2010,5,2011,вариатор,1.6 LTR,190 N12,898000
универсал 5 дв.,OPEL,чёрный,бензин,2012,5,2013,автоматическая,1.6 LTR,115 N12,615000
седан,GEELY,серый,бензин,2009,4,2014,вариатор,1.8 LTR,126 N12,470000
хэтчбек 5 дв.,RENAULT,золотистый,бензин,2013,5,2017,механическая,1.6 LTR,82 N12,712800
седан,MAZDA,белый,бензин,2009,4,2010,механическая,1.8 LTR,120 N12,629000
внедорожник 5 дв.,LAND_ROVER,коричневый,бензин,2017,5,2020,автоматическая,3.0 LTR,400 N12,9500000
